RAJ2000,DEJ2000,pcS,paS,N
45.410958333333326,0.4600277777777777,0.0,0.882,34
45.332583333333325,0.8654444444444443,0.946,0.054,37
45.59816666666666,0.9793055555555554,0.0,0.966,29
44.11304166666666,0.8757499999999999,0.0,1.0,36
31.64658333333333,12.520333333333332,0.0,0.952,21
32.12445833333333,12.73336111111111,0.818,0.045,22
33.66074999999999,12.790527777777775,0.968,0.032,31
33.102708333333325,13.363444444444443,0.0,0.886,35
32.98133333333333,13.473027777777776,0.931,0.034,29
30.598833333333328,12.788277777777775,0.917,0.0,60
30.691874999999996,12.965777777777776,0.931,0.034,29
31.52483333333333,13.28522222222222,0.0,1.0,24
31.36108333333333,13.327305555555554,0.0,0.941,34
30.229499999999994,12.935749999999999,0.965,0.018,57
30.41454166666666,13.351555555555553,0.96,0.0,25
30.55670833333333,13.50561111111111,0.973,0.027,37
29.845124999999996,13.420388888888887,0.0,0.857,56
30.413541666666664,13.41547222222222,0.0,0.9,30
30.866374999999994,14.03047222222222,0.828,0.069,29
31.05429166666666,14.32872222222222,0.0,0.824,51
30.996499999999994,14.31036111111111,0.042,0.917,24
32.214,13.363583333333331,0.036,0.929,28
32.48325,13.934833333333332,0.0,0.94,50
32.41445833333333,13.983194444444443,0.017,0.933,60
33.14058333333333,14.343194444444443,0.034,0.862,29
32.534124999999996,14.610083333333332,0.828,0.0,29
32.10408333333333,14.349555555555554,0.0,1.0,37
29.28233333333333,13.621527777777775,0.0,0.886,35
29.878999999999994,13.943777777777775,0.935,0.0,31
29.876291666666663,14.483888888888886,0.0,0.857,21
30.039749999999994,14.731444444444442,0.0,0.984,62
28.59870833333333,14.659777777777776,0.0,0.86,50
28.375666666666664,14.570944444444443,0.0,0.967,30
28.415749999999996,14.623833333333332,1.0,0.0,26
28.461124999999996,14.764499999999998,0.819,0.0,72
28.96658333333333,14.940277777777776,0.03,0.97,33
28.868166666666664,14.925305555555553,0.0,0.958,48
29.211208333333328,14.873416666666664,0.053,0.921,38
29.29195833333333,14.916916666666664,0.0,0.976,41
28.51533333333333,14.909527777777775,0.875,0.0,40
134.61916666666664,0.6371111111111111,0.971,0.029,35
134.8299583333333,0.7977499999999998,0.0,1.0,52
135.89729166666666,1.353472222222222,0.0,0.903,31
135.4132083333333,1.2725277777777777,0.983,0.0,60
135.6279583333333,1.4958055555555554,0.9,0.0,30
134.64991666666666,1.5304166666666665,0.0,0.93,43
134.91074999999998,2.009,0.0,0.968,31
135.04774999999998,2.077833333333333,0.0,0.81,63
134.97599999999997,2.2710277777777774,0.862,0.0,29
135.89437499999997,1.7226944444444443,0.0,0.812,32
137.56112499999998,2.4075555555555552,0.0,0.833,36
137.40770833333332,2.378361111111111,0.967,0.0,60
135.33158333333333,2.495027777777777,0.893,0.013,75
136.73695833333332,3.1809722222222216,0.059,0.922,51
133.6499583333333,1.4349999999999998,0.959,0.0,49
133.41970833333332,1.5635,0.0,0.875,32
134.404375,2.239444444444444,0.95,0.0,20
133.967875,2.5242777777777774,0.906,0.0,32
134.33545833333332,2.921305555555555,0.939,0.061,33
133.81962499999997,2.9561666666666664,0.865,0.0,52
133.22912499999998,3.152333333333333,1.0,0.0,40
133.60979166666664,3.4610277777777774,0.957,0.014,70
135.0522083333333,2.5942222222222218,0.0,0.828,29
135.565375,3.169944444444444,0.935,0.0,31
135.68991666666665,3.411833333333333,0.0,1.0,30
136.21758333333332,3.5563611111111104,0.0,0.971,34
136.12666666666664,3.7371388888888886,0.938,0.0,16
136.05204166666664,3.875333333333333,0.975,0.025,40
135.320125,3.402583333333333,0.018,0.818,55
135.361125,3.414027777777777,0.057,0.857,35
135.39174999999997,3.7296388888888883,0.9,0.033,30
135.2989583333333,3.7516111111111106,0.903,0.065,31
134.41991666666664,3.288583333333333,0.0,0.815,27
133.80054166666665,3.497388888888888,0.0,0.817,60
137.87449999999998,2.6948611111111105,0.0,0.833,24
138.01529166666666,2.8758611111111105,0.867,0.05,60
137.75404166666664,3.209333333333333,0.0,0.98,51
137.64291666666665,3.224583333333333,1.0,0.0,56
137.68191666666664,3.2686388888888884,0.0,0.985,67
137.61429166666665,3.3452499999999996,0.805,0.024,41
137.61862499999998,3.372555555555555,0.024,0.951,41
138.30575,3.2304999999999997,0.029,0.941,34
138.33333333333331,3.695555555555555,0.941,0.059,34
138.21112499999998,3.8561666666666663,0.0,0.948,58
136.97899999999998,3.272694444444444,0.962,0.0,53
137.14187499999997,3.6776111111111107,0.919,0.0,37
138.16641666666663,3.9193888888888884,0.911,0.018,56
137.74545833333332,4.596083333333333,0.0,0.862,29
139.37883333333332,3.9980277777777773,0.0,0.93,43
139.83004166666666,4.152805555555555,0.935,0.0,31
140.28216666666665,4.83325,0.0,0.824,34
140.01375,5.146916666666666,0.0,0.966,59
139.7904583333333,5.444277777777777,0.036,0.964,28
138.72787499999998,5.552444444444443,0.0,0.902,41
137.54766666666666,4.7043888888888885,0.0,0.848,33
137.27158333333333,4.679777777777777,0.909,0.045,22
137.09866666666665,4.931499999999999,0.893,0.0,28
137.12441666666666,5.333305555555555,0.803,0.016,61
136.1185833333333,4.976972222222222,0.0,0.938,32
135.30066666666664,4.732805555555555,0.0,0.981,53
136.56133333333332,4.976222222222222,0.853,0.0,34
135.86558333333332,5.258722222222222,0.0,0.878,49
136.16474999999997,5.512055555555555,0.84,0.0,25
137.91429166666666,4.9473055555555545,0.03,0.879,33
138.06941666666665,5.904416666666666,0.923,0.0,52
138.50562499999998,6.06075,0.843,0.0,70
137.26604166666664,5.662888888888888,0.033,0.933,30
137.00679166666666,5.6027499999999995,0.0,0.879,33
137.54104166666664,5.811611111111111,0.962,0.0,26
136.70070833333332,6.008555555555555,0.0,1.0,31
131.64737499999998,2.999194444444444,0.0,0.95,60
132.05225,3.1923611111111105,0.045,0.909,22
132.11154166666665,3.8959722222222215,0.818,0.0,22
132.13662499999998,4.155138888888889,0.0,0.903,31
132.01141666666666,4.268527777777777,0.0,0.934,61
132.14416666666665,4.240916666666666,0.957,0.043,23
132.25025,4.3437777777777775,0.0,1.0,25
133.93745833333332,4.417583333333333,0.0,0.917,36
133.73783333333333,4.458666666666666,0.92,0.0,25
134.39674999999997,4.5154444444444435,0.815,0.037,27
134.29149999999998,4.622055555555555,0.0,0.91,67
134.26424999999998,4.904249999999999,0.029,0.824,34
134.29691666666665,4.939666666666666,0.808,0.0,26
134.03720833333333,5.12975,0.877,0.015,65
133.31341666666665,4.622277777777777,0.0,0.867,30
133.34754166666664,4.6773333333333325,0.857,0.0,28
133.1784583333333,4.812972222222221,0.97,0.0,33
132.7977083333333,4.880611111111111,0.0,0.96,25
133.767125,5.036999999999999,0.034,0.949,59
134.01037499999998,5.158972222222221,0.935,0.032,31
130.81479166666665,3.690694444444444,0.0,1.0,32
130.9429583333333,3.7729444444444438,0.0,0.895,19
130.59837499999998,4.140527777777777,0.895,0.0,38
131.29920833333333,4.708666666666666,0.0,0.958,24
130.07570833333332,4.270777777777777,0.958,0.042,48
130.6604583333333,4.853777777777777,0.893,0.0,28
129.935625,5.227666666666666,0.017,0.967,60
130.70399999999998,5.015888888888888,0.04,0.88,25
130.539875,5.141555555555555,0.0,0.9,30
130.905375,5.316944444444443,1.0,0.0,28
130.92354166666664,5.358527777777777,0.014,0.986,73
130.6568333333333,5.375722222222222,0.0,1.0,65
130.71283333333332,5.789722222222221,0.875,0.031,32
132.23749999999998,4.876472222222222,0.808,0.019,52
131.75437499999998,5.422055555555555,1.0,0.0,32
133.28691666666666,5.937527777777777,0.82,0.0,61
131.93533333333332,6.040583333333332,0.0,0.958,24
131.77354166666666,6.008055555555555,0.958,0.021,48
135.1844583333333,5.002527777777777,0.0,1.0,32
134.79149999999998,5.539027777777777,0.919,0.016,62
134.68987499999997,5.850999999999999,0.933,0.0,30
134.21416666666664,6.090416666666666,0.065,0.806,31
134.71029166666665,6.292999999999999,1.0,0.0,32
135.41491666666664,6.7045555555555545,0.0,0.97,33
136.4192083333333,6.0971666666666655,0.826,0.029,69
136.4008333333333,6.417138888888888,0.015,0.985,68
136.87591666666665,6.749638888888888,0.95,0.0,40
136.08887499999997,6.873444444444443,0.0,0.871,31
137.4729583333333,7.139972222222221,0.0,0.808,26
137.35824999999997,7.161527777777777,0.0,0.889,27
136.481125,7.200666666666666,0.844,0.062,32
135.3574583333333,7.030472222222222,1.0,0.0,24
136.57462499999997,7.455333333333332,0.014,0.915,71
136.8733333333333,7.916722222222221,0.811,0.019,53
136.25495833333332,7.886277777777777,0.0,0.931,58
133.47379166666664,6.297916666666666,0.902,0.0,61
133.988375,6.336333333333332,0.034,0.897,29
133.89162499999998,6.659194444444443,0.0,0.909,33
133.11487499999998,6.451722222222221,0.906,0.0,32
133.96679166666664,7.453638888888888,0.019,0.963,54
134.28429166666666,7.451472222222221,1.0,0.0,34
132.35287499999998,7.221333333333332,0.0,0.938,32
133.82154166666666,7.462694444444443,0.018,0.855,55
133.90533333333332,7.844083333333332,0.962,0.0,52
133.82345833333332,8.039888888888887,0.917,0.0,24
133.65349999999998,8.090055555555555,0.0,0.935,31
133.58670833333332,8.321555555555554,1.0,0.0,28
135.0460833333333,7.7260833333333325,0.0,1.0,35
135.40324999999999,7.651749999999999,0.92,0.0,25
134.91366666666664,7.82311111111111,0.0,0.969,32
134.47074999999998,7.749777777777776,0.0,1.0,29
134.47016666666664,7.900583333333333,0.0,0.848,33
134.65154166666665,7.862249999999999,0.851,0.0,47
134.86312499999997,8.05361111111111,0.0,0.913,23
136.198875,8.269277777777777,0.0,0.963,27
135.98687499999997,8.355166666666666,0.0,0.84,25
135.702375,8.945083333333333,0.0,0.934,61
134.3755833333333,7.9216944444444435,0.805,0.0,41
134.7290833333333,8.400944444444443,0.944,0.0,36
134.00466666666665,8.439666666666666,1.0,0.0,59
134.15804166666666,8.559388888888888,0.0,0.917,24
135.0077083333333,8.455388888888887,0.914,0.029,35
135.19554166666666,8.722694444444443,0.045,0.955,22
135.4140833333333,9.079694444444444,0.0,0.811,37
134.96579166666666,9.551166666666665,0.034,0.81,58
140.49641666666665,4.907805555555555,0.026,0.949,39
140.64499999999998,5.144388888888888,0.88,0.0,25
141.0045833333333,5.209388888888888,0.019,0.962,52
140.84454166666666,5.6298611111111105,0.806,0.065,31
140.93175,6.0379444444444434,0.0,0.944,36
141.08499999999998,6.180138888888888,0.033,0.967,30
141.25979166666664,6.268805555555555,0.897,0.0,29
141.32629166666663,6.3928055555555545,0.0,1.0,25
139.88616666666664,5.636388888888888,0.0,0.968,31
139.8879583333333,5.882749999999999,0.973,0.0,37
140.49916666666664,6.014888888888888,0.985,0.0,65
139.74191666666664,5.888388888888888,0.955,0.0,22
139.7684583333333,5.886194444444444,0.962,0.038,26
139.35583333333332,6.032027777777777,0.0,0.963,27
140.85729166666664,6.444777777777777,0.032,0.903,31
140.99416666666664,6.848083333333332,0.0,1.0,26
140.2577083333333,6.769166666666666,0.958,0.0,24
141.88566666666665,6.119083333333332,0.0,0.929,28
142.14804166666664,6.228138888888888,0.0,0.892,37
143.12266666666665,7.358916666666666,0.0,1.0,32
142.32824999999997,7.1571944444444435,0.872,0.0,47
142.95274999999998,7.401444444444444,0.038,0.923,26
142.92225,7.537583333333332,0.05,0.9,40
141.91304166666666,7.079666666666665,0.0,0.967,30
141.51954166666664,7.410888888888888,0.867,0.067,30
141.37579166666666,7.503999999999999,0.0,0.914,35
141.96816666666663,7.251499999999999,0.0,0.962,53
141.70637499999998,7.608666666666665,0.964,0.0,55
139.04595833333332,6.3294444444444435,0.867,0.033,30
139.21145833333333,6.366749999999999,0.935,0.0,31
139.82999999999998,6.790638888888888,0.0,0.926,27
140.13416666666666,7.074083333333332,0.016,0.935,62
138.59525,7.10361111111111,0.0,1.0,30
138.710625,7.282749999999999,0.848,0.0,33
139.00991666666664,7.330027777777777,0.0,1.0,31
139.16579166666665,7.266388888888888,0.953,0.047,43
139.46749999999997,7.490944444444444,1.0,0.0,35
139.69562499999998,7.931472222222221,0.0,0.934,61
140.21533333333332,7.681055555555554,0.0,0.836,55
141.269625,8.152777777777777,0.0,1.0,49
141.73841666666664,8.630194444444443,0.0,1.0,57
140.93770833333332,8.460333333333333,0.056,0.944,36
139.85154166666663,8.021333333333333,1.0,0.0,24
140.3550833333333,8.2785,0.824,0.029,34
140.0502083333333,8.648416666666666,0.0,1.0,30
140.60470833333332,8.421777777777777,0.962,0.0,26
140.84474999999998,8.59611111111111,0.0,0.912,34
143.54329166666665,7.449888888888888,0.0,0.962,26
143.58083333333332,8.249749999999999,1.0,0.0,31
