ra_deg,dec_deg,spin
179.7176,42.7225,-1
182.55913,-29.73681,1
8.56447,-27.80356,1
10.1458,-13.87278,-1
11.94712,-11.4687,-1
19.93689,3.41001,-1
28.24856,12.70853,1
29.92774,-5.96427,-1
30.20256,-9.00256,-1
50.52731,-15.39994,-1
51.25701,-5.74583,-1
52.02483,-8.38862,-1
53.0126,-20.81916,1
54.36801,-24.50128,1
54.8471,-31.32153,1
55.23689,-22.56451,-1
83.34029,-21.94547,-1
108.57267,84.38227,1
134.33546,2.92136,-1
138.42932,76.47534,1
139.08228,-23.63326,1
147.14825,33.42162,-1
154.41069,21.68821,1
154.65225,-17.98251,1
161.76697,17.2737,-1
163.04747,32.95043,1
169.56792,-32.8126,-1
173.33807,47.02924,1
175.3277,36.54688,1
176.53242,47.4945,-1
176.76901,-16.85464,-1
177.68937,51.82442,1
181.47487,-14.52646,1
181.50484,47.47836,1
182.9687,24.1236,1
183.19351,10.866,-1
183.45121,14.90054,1
184.04886,47.88337,1
184.9608,29.61479,-1
189.4314,11.8183,1
189.61837,4.31919,1
189.91435,-5.34418,-1
190.15353,-5.13301,-1
193.33864,1.26917,-1
193.65742,46.53119,1
194.50517,1.57558,-1
196.28212,-6.49384,1
210.54916,55.81399,-1
213.7099,15.14683,1
214.03229,35.34386,-1
214.80331,24.79866,1
215.54463,13.91804,1
216.08647,36.46139,-1
217.60629,35.32104,1
218.19522,49.45781,1
219.42109,2.29086,1
221.54637,-0.22292,-1
245.45253,-2.28352,1
330.66595,-20.8127,1
338.94249,-26.05043,1
342.95316,-20.60806,-1
345.01495,15.98036,1
354.70257,-6.51787,-1
213.29127,-65.33902,1
20.66195,34.437,-1
29.29079,14.5499,1
72.92589,-6.23139,1
0.33238,34.52568,-1
7.53045,-11.11366,-1
303.9161,-13.62199,-1
2.48559,-24.96313,-1
8.69495,-8.39646,1
9.21503,23.99099,-1
10.68471,41.26875,1
11.78564,-20.7604,1
11.88806,-25.2888,-1
23.46207,30.66017,-1
23.57598,-29.41849,1
23.7737,-7.34023,1
29.83148,19.00763,1
30.93664,38.25878,1
34.29472,14.54781,-1
34.49852,14.54395,-1
37.70264,37.1366,-1
38.55566,29.31128,1
39.8714,-8.13364,1
40.70121,28.57407,-1
41.49969,-7.57864,1
42.06719,34.41981,-1
41.57941,-30.27491,-1
54.19266,-35.99927,1
55.622,-13.48804,1
63.01817,-32.87416,-1
65.00165,-54.93795,-1
70.36747,-2.85796,1
72.15492,-6.31995,1
85.5193,69.37845,1
101.20452,-27.63849,1
109.01703,64.71154,-1
114.21391,65.60268,-1
113.7594,32.82212,1
128.34517,-22.97367,-1
130.90862,50.20554,1
133.17211,33.42183,-1
137.02585,78.08534,-1
136.88989,60.47939,1
137.58389,7.03802,-1
138.5212,40.1137,-1
140.51116,50.97659,1
143.04213,21.50083,1
148.88822,69.0653,1
153.47948,38.84289,-1
153.67554,-28.87212,1
154.97912,45.54969,1
155.8774,19.86508,-1
159.69107,53.5033,1
159.26049,-27.56498,-1
161.6906,11.81994,-1
166.45237,-0.0359,1
169.73295,13.09231,1
170.0626,12.9915,1
170.42945,20.16957,1
171.26034,-9.79538,-1
171.53568,43.586,1
173.14524,53.06792,-1
175.41379,24.80053,-1
177.2894,27.02202,1
178.42388,47.85872,-1
181.01587,31.89569,-1
181.3926,50.53918,1
184.74008,47.30372,1
185.30371,18.3824,-1
185.60956,29.20867,1
185.72887,15.8223,1
186.61303,31.22351,1
186.79823,9.42065,1
187.1233,17.08499,-1
187.16899,9.25892,-1
187.99647,14.42032,1
188.5352,2.6541,1
189.2075,13.16292,1
189.45156,5.36851,-1
190.65678,-40.74421,1
190.46963,41.27392,1
190.63329,-0.08252,1
190.92766,16.39333,1
191.28615,-0.46191,1
192.09545,8.48741,-1
194.18207,21.68266,-1
197.73463,37.05894,1
198.36473,36.59365,1
198.95531,42.02937,-1
204.25383,-29.86576,-1
204.38339,8.88514,-1
206.93749,38.30457,1
209.65817,37.42449,-1
210.85354,-6.06894,-1
210.70863,49.17265,-1
217.13234,27.40895,1
218.02321,57.92143,-1
219.57545,3.41032,1
232.00279,64.76317,-1
235.37674,15.78771,-1
237.85516,62.31006,-1
244.69655,7.41082,-1
245.91185,11.78627,-1
248.0878,19.8247,1
248.60619,21.54084,-1
250.76562,36.83242,1
262.58926,59.63989,1
267.36009,70.14433,1
306.27762,-24.80917,1
308.71805,60.15368,-1
309.30884,66.10557,-1
313.14764,-5.71112,-1
338.52829,5.57033,1
339.26688,34.41578,-1
341.10155,-0.16213,-1
345.51447,27.05256,-1
346.23601,12.32288,-1
348.55498,13.42649,-1
348.68274,4.5339,-1
349.5678,6.58586,1
349.8139,8.35016,-1
350.12555,17.2256,1
350.36112,8.21766,1
356.00843,0.5166,1
358.47449,7.97061,1
359.03257,0.54944,1
1.30783,6.772,1
3.96364,16.0898,-1
22.22264,13.79257,-1
37.09216,23.2146,1
43.99006,6.49482,1
114.65207,37.63352,-1
115.30987,27.61405,-1
119.80446,32.9147,-1
149.7152,19.21496,1
150.41861,10.75636,1
155.55833,20.58932,-1
182.46227,38.21854,1
190.92766,16.39333,1
232.46103,42.62899,-1
233.21649,41.19154,1
244.33813,59.32012,-1
246.69455,11.58017,-1
266.59133,26.5438,1
325.55329,5.61531,-1
350.0116,15.95278,1
112.57667,79.8725,-1
167.77649,43.63298,1
184.76299,8.85615,1
239.63476,17.44146,1
242.64309,10.0404,1
260.94703,26.48652,-1
1.27235,-7.09342,-1
72.19117,-5.12463,-1
94.11653,-21.37587,1
142.53823,20.09087,-1
234.17566,43.53931,1
349.79849,8.10933,1
1.81607,27.70806,-1
2.47255,25.92374,1
2.84291,6.38934,1
3.5167,-23.18198,-1
9.01708,23.95792,1
9.33979,-19.93427,1
9.39308,-22.54925,-1
9.49044,8.63521,1
9.8059,0.8642,1
10.36677,25.4994,1
10.39122,-10.02141,-1
10.88492,14.34261,1
10.86609,-0.12495,1
12.00629,8.29708,-1
13.0181,47.55047,1
13.17652,-31.20583,1
13.72269,-37.68421,1
18.23212,0.98158,-1
18.9566,31.08023,-1
18.8769,-0.86087,-1
20.33475,40.48817,1
20.44499,5.25684,-1
20.79828,33.52928,-1
20.59907,-0.87521,1
21.9193,37.183,1
24.17394,15.78364,-1
27.76618,-9.70256,1
29.42585,35.91604,-1
29.67058,0.52923,-1
29.97716,23.64429,-1
32.92284,-9.30454,-1
33.86517,6.00262,1
35.40196,-5.52139,-1
36.26833,-24.78818,1
36.82047,33.57888,-1
39.81235,30.15167,1
40.09989,-8.43354,1
40.87511,37.34133,1
40.66962,-0.01329,1
40.91916,1.37587,1
41.60481,-0.49874,1
45.89467,46.38634,1
47.43964,-20.5793,-1
49.92103,-19.41116,-1
53.41534,-5.0895,1
60.97617,-43.34885,-1
68.50011,-8.57905,1
71.02665,-5.46567,1
72.71699,-4.89271,-1
74.99058,-26.02218,1
76.36299,-11.87142,-1
78.01393,-15.68778,1
90.28318,-23.67232,1
94.09181,-21.37271,-1
111.81035,85.7545,1
111.76687,80.17807,1
116.83458,26.93016,-1
119.48537,25.16088,-1
119.58527,25.14923,1
120.47155,50.73711,-1
121.4085,-11.42705,-1
123.19353,26.36177,1
124.83556,50.00961,1
124.39583,20.90308,-1
128.34607,29.53862,1
128.82221,28.4734,1
135.566,16.8382,-1
138.06055,44.95489,1
140.08495,64.10298,1
143.02593,8.4418,1
141.54805,-76.62632,-1
143.73997,21.70527,1
145.72605,31.84721,-1
146.41148,-31.19093,-1
147.18179,44.08145,-1
151.41377,80.28567,1
151.02188,31.18546,1
152.54114,-12.43383,-1
153.44053,3.42481,-1
155.44826,56.93041,-1
160.87979,24.92222,-1
160.91221,14.87179,-1
160.99055,11.70369,1
161.65352,63.22364,1
161.64564,13.75086,1
162.10333,34.71141,1
162.45882,32.98289,-1
162.80969,5.84004,1
163.01595,10.14824,1
163.64797,56.99081,1
169.5889,45.7482,1
170.26203,53.16956,-1
170.57459,59.07452,1
172.00252,29.51104,-1
175.31921,47.69083,-1
177.1592,48.71079,1
177.31404,56.08435,1
178.20597,44.12075,-1
178.48814,-23.16425,1
179.39985,53.37472,1
179.40361,32.27762,1
179.8757,-19.26517,-1
180.09838,-1.10005,1
180.71119,48.63619,-1
180.79004,44.5313,1
181.04663,18.44345,1
181.596,52.711,-1
182.04633,2.87827,-1
182.32376,29.92762,-1
182.63573,39.40585,-1
183.34248,28.51101,1
183.80983,20.65908,-1
183.81605,65.98529,-1
184.17549,69.46257,1
184.70677,14.41649,-1
185.41895,11.49993,-1
185.47887,4.47378,-1
186.0065,12.20502,1
187.24594,3.57062,-1
187.40753,7.82425,1
187.76864,-8.05404,1
187.6437,41.6405,-1
187.91343,3.93934,-1
188.41524,9.17487,1
188.6128,2.1883,-1
188.71198,15.5517,1
188.86019,14.49632,-1
190.38707,41.15088,-1
190.67771,55.14554,-1
190.88559,11.58247,1
190.98599,13.12635,1
191.8146,-10.06337,1
192.05667,-3.33269,1
192.2983,3.38872,1
192.19109,35.33274,1
192.61072,25.50076,-1
192.75456,-6.39305,1
192.72114,41.12025,-1
193.44045,-6.62215,1
193.84131,58.34407,1
195.24445,-0.02745,-1
196.44824,27.73424,-1
197.44772,28.90696,1
198.02778,24.09498,1
199.05129,30.95046,1
200.44267,-27.43052,-1
201.43358,-29.83368,1
202.40212,58.41873,-1
202.51498,62.51155,-1
203.04346,62.76781,-1
208.91641,40.46177,1
209.21259,37.79724,-1
209.27071,41.84623,-1
209.64017,37.45354,1
210.08385,38.91541,1
210.8585,-6.03075,-1
210.80243,54.34875,1
211.2567,53.66221,-1
211.58967,50.725,1
213.09502,50.34847,1
216.90242,41.25782,1
216.86817,46.14653,-1
217.68184,29.18064,1
218.35142,4.45046,1
218.18115,9.89041,-1
218.68735,48.67026,-1
219.63868,50.81525,-1
220.1624,38.63788,1
224.14711,30.2346,-1
226.78201,1.54431,1
228.28072,41.26462,-1
228.8472,55.5172,-1
231.53332,41.67603,1
232.05302,42.92987,-1
232.65247,42.71716,1
234.40088,5.97399,1
233.90378,56.46169,1
237.59468,18.93926,1
240.75467,20.9559,-1
241.46666,21.48493,-1
241.80418,7.97901,1
246.37702,49.84025,1
246.53473,48.36678,1
257.13644,42.33913,1
267.15976,51.15728,-1
267.82489,59.47087,-1
269.85548,6.28691,-1
295.66911,-10.32364,1
309.09781,-4.61873,1
319.11521,-0.82651,-1
331.96833,31.35934,-1
339.11673,21.62177,1
346.88617,22.99806,-1
348.82202,19.04164,1
351.20567,15.27559,1
351.66574,25.08024,-1
353.10173,15.84784,1
354.13107,0.29727,1
354.73788,-12.96102,-1
355.97656,26.07557,1
356.08817,9.93416,-1
1.10206,31.47203,-1
1.276,6.92014,1
9.05397,1.7124,-1
14.70358,0.58726,-1
22.86097,14.2775,1
27.87467,13.13173,-1
30.83412,18.62962,1
35.27652,23.60039,-1
62.29966,8.64887,1
68.48392,1.11381,-1
73.48704,3.59353,-1
103.11407,57.16276,-1
111.19706,32.8041,-1
124.81468,24.79267,-1
126.13277,54.85389,-1
127.86269,60.99505,1
132.31828,36.11982,-1
139.00747,17.58981,1
140.52586,3.89727,-1
145.77597,41.09301,1
147.547,16.28638,-1
147.91681,65.49112,1
158.19813,15.8608,1
161.2954,-10.06481,1
163.1082,10.54726,-1
166.15397,45.12519,1
177.33252,74.30225,-1
181.30342,28.78208,-1
183.11652,39.11092,1
